time, ennemy, ypos
3,3,400
4,3,400
5,3,400
8,3,200
7,3,400
8,3,600
14,3,200
14,3,400
14,3,600
16,3,200
16,3,400
16,3,600
21,1,100
21,1,200
21,1,300
21,1,400
21,1,500
21,1,600
21,1,700
22,1,150
22,1,260
22,1,350
22,1,450
22,1,550
22,1,650
22,1,750
23,1,200
23,1,300
23,1,400
23,1,500
23,1,600
23,1,700
25,3,102
25,3,302
25,3,502
26,3,152
26,3,352
26,3,552
29,2,202
29,2,402
29,2,602
30,2,262
30,2,452
30,2,650
35,1,100
35,1,200
35,1,300
35,1,400
35,1,500
35,1,600
35,1,700
36,1,150
36,1,260
36,1,350
36,1,450
36,1,550
36,1,650
36,1,750
37,1,200
37,1,300
37,1,400
37,1,500
37,1,600
37,1,700
38,3,200
39,3,300
40,3,400
41,3,500
42,3,600
47,4,400
